date,index,bnw_bfk_tfp_util,bnw_percap_rsp_end,bnw_percap_c,bnw_expost_ffr_mon,bnw_percap_h,bnw_percap_iv,bnw_percap_y,bnw_cpih_inf_an
1955.1,1,0.21720722,-11.28894962,-4.331865961,0.008022252,-7.59918428,-6.010431215,-4.139749437,0.005477748
1955.2,2,0.212948219,-11.1764674,-4.324254696,0.021877748,-7.592444744,-5.952902553,-4.124461368,-0.005477748
1955.3,3,0.206989393,-11.118047,-4.318454754,0.018811208,-7.580576599,-5.941789423,-4.113872415,0.002988792
1955.4,4,0.200390767,-11.08316654,-4.301382328,0.012867114,-7.572133279,-5.92328881,-4.11194398,0.011932886
1956.1,5,0.194524324,-11.02210681,-4.293947793,0.024503568,-7.57751244,-5.960130779,-4.121700618,0.000496432
1956.2,6,0.20021383,-11.0630556,-4.291474208,0.000876887,-7.57749071,-5.974173136,-4.116735943,0.026223113
1956.3,7,0.197219884,-11.11139282,-4.287442158,-0.011712188,-7.584543333,-5.988887921,-4.123977019,0.041212188
1956.4,8,0.21507225,-11.09406182,-4.279093883,-0.004622076,-7.590093377,-6.003662738,-4.108976372,0.034022076
1957.1,9,0.221828804,-11.16126383,-4.277098841,-0.003175217,-7.593201575,-6.022742807,-4.105520733,0.032775217
1957.2,10,0.225073478,-11.1013503,-4.27312858,-0.00393699,-7.601610757,-6.026756486,-4.113379776,0.03393699
1957.3,11,0.243364751,-11.22403739,-4.266939259,-0.000838941,-7.605865957,-6.006796791,-4.107269669,0.035538941
1957.4,12,0.254567872,-11.29171332,-4.266055652,0.01050471,-7.633278897,-6.097801133,-4.124513438,0.01929529
1958.1,13,0.241817614,-11.25535851,-4.273128762,-0.035138986,-7.663662804,-6.178498271,-4.163042499,0.047138986
1958.2,14,0.248904045,-11.19273748,-4.263269312,-0.01752091,-7.675300463,-6.204808825,-4.160476821,0.02682091
1958.3,15,0.255589476,-11.09368543,-4.25100469,0.019905077,-7.670748139,-6.128369992,-4.137499626,-0.002305077
1958.4,16,0.250702441,-11.00063182,-4.24612093,0.020051817,-7.659249889,-6.045794308,-4.114500654,0.004148183
1959.1,17,0.242439331,-11.00196482,-4.237074207,0.021095908,-7.647788254,-5.99455816,-4.093669519,0.006904092
1959.2,18,0.238423363,-10.95417054,-4.228299135,0.027007804,-7.628025959,-5.918291286,-4.068401341,0.006892196
1959.3,19,0.235043774,-10.99046097,-4.22184939,0.016994379,-7.640955246,-5.993809702,-4.075798307,0.020605621
1959.4,20,0.242836463,-10.94810252,-4.215045549,0.01576651,-7.64504841,-5.962538632,-4.077489491,0.02413349
1960.1,21,0.282870118,-11.03481283,-4.215083067,0.034769824,-7.65454611,-5.866820852,-4.059702648,0.003630176
1960.2,22,0.282606515,-11.01546884,-4.206879509,0.009232939,-7.647447702,-5.976173773,-4.072437079,0.023967061
1960.3,23,0.295391382,-11.08081693,-4.212945573,0.023746352,-7.652092209,-5.98544409,-4.075485998,0.002253648
1960.4,24,0.28779843,-11.00844935,-4.209864782,-0.005802243,-7.667038417,-6.120894531,-4.097787451,0.025602243
1961.1,25,0.290489755,-10.90113281,-4.204856968,0.012149008,-7.676118393,-6.099354829,-4.096384387,0.008050992
1961.2,26,0.308145321,-10.91049645,-4.194011974,0.018640707,-7.690912975,-6.030624572,-4.077215146,-0.001340707
1961.3,27,0.306835188,-10.88564777,-4.19484857,0.003186307,-7.686868807,-5.953219525,-4.062954631,0.015613693
1961.4,28,0.310993734,-10.81893883,-4.180342281,0.017516116,-7.678777308,-5.938123397,-4.0440373,0.005783884
1962.1,29,0.319817097,-10.85275651,-4.172861082,0.012969446,-7.670129507,-5.881613048,-4.025750681,0.015530554
1962.2,30,0.329581947,-11.09946692,-4.165354803,0.011770697,-7.668513649,-5.895253922,-4.018141163,0.015029303
1962.3,31,0.346600244,-11.07951517,-4.161678426,0.017544986,-7.678364756,-5.882091092,-4.01375238,0.011455014
1962.4,32,0.356224544,-10.97298689,-4.157054593,0.019632853,-7.691023681,-5.921637628,-4.018248203,0.009667147
1963.1,33,0.366153567,-10.92752848,-4.157529183,0.017092535,-7.688374317,-5.872549484,-4.008560835,0.012707465
1963.2,34,0.371852384,-10.892506,-4.1534778,0.022469522,-7.686433598,-5.862376847,-3.999531097,0.007430478
1963.3,35,0.386432207,-10.86967355,-4.142948607,0.010420299,-7.690917033,-5.834485255,-3.983044102,0.024379701
1963.4,36,0.384079642,-10.8313405,-4.138581108,0.022963996,-7.689819112,-5.826518688,-3.979324948,0.010836004
1964.1,37,0.396116685,-10.78821116,-4.126428132,0.01788529,-7.681961517,-5.790520518,-3.95773905,0.01641471
1964.2,38,0.397275876,-10.76008284,-4.114916549,0.028539007,-7.677070598,-5.799020195,-3.950413779,0.006460993
1964.3,39,0.404413872,-10.73662295,-4.104102938,0.025472106,-7.675903358,-5.779959254,-3.939949497,0.009027894
1964.4,40,0.396102708,-10.738877,-4.098784161,0.020077646,-7.673994835,-5.776085178,-3.943229952,0.018422354
1965.1,41,0.409694628,-10.72965243,-4.092248425,0.028023356,-7.665904205,-5.684371726,-3.918142824,0.012376644
1965.2,42,0.405651759,-10.76403628,-4.08310899,0.01491409,-7.657027346,-5.688422412,-3.908347139,0.02548591
1965.3,43,0.418735104,-10.7031969,-4.072393099,0.028261919,-7.662075577,-5.656814272,-3.890211593,0.011838081
1965.4,44,0.430122191,-10.68471593,-4.052436523,0.02214732,-7.655071038,-5.655425273,-3.867274281,0.02105268
1966.1,45,0.446048748,-10.7319364,-4.045844984,0.009298206,-7.64789388,-5.576979608,-3.842254135,0.037201794
1966.2,46,0.440360511,-10.79537301,-4.038252915,0.015665586,-7.643582903,-5.598184765,-3.843900271,0.036034414
1966.3,47,0.443162173,-10.90835806,-4.033237635,0.019513489,-7.644492767,-5.611006631,-3.843267253,0.034486511
1966.4,48,0.452028114,-10.87141707,-4.029860468,0.021429845,-7.649728389,-5.609311643,-3.840159018,0.032570155
1967.1,49,0.461684622,-10.76137365,-4.02329301,0.035175975,-7.653628227,-5.640382136,-3.834927379,0.010124025
1967.2,50,0.466913618,-10.76629437,-4.01814985,0.015606378,-7.667300236,-5.687600904,-3.840355931,0.024193622
1967.3,51,0.468039706,-10.71639191,-4.014222472,-0.000100333,-7.666082933,-5.664209413,-3.838616139,0.040000333
1967.4,52,0.469058737,-10.73429763,-4.011593123,0.001556769,-7.666052988,-5.647483528,-3.836042964,0.043543231
1968.1,53,0.486334988,-10.81518491,-3.998644552,0.01132241,-7.669078356,-5.629706064,-3.817463746,0.03917759
1968.2,54,0.492277109,-10.72933923,-3.987557206,0.021902412,-7.664779657,-5.593562059,-3.80268246,0.038797588
1968.3,55,0.48716127,-10.71627745,-3.977847798,0.004107919,-7.663316962,-5.630609317,-3.800652282,0.053692081
1968.4,56,0.479977006,-10.7218109,-3.975037503,0.010980259,-7.662243209,-5.625083697,-3.801029405,0.049219741
1969.1,57,0.480735775,-10.76132801,-3.969940601,0.01927855,-7.652449725,-5.565698841,-3.788147456,0.04862145
1969.2,58,0.476263194,-10.81922701,-3.965040357,0.02629701,-7.654423478,-5.577827696,-3.791044648,0.06270299
1969.3,59,0.479188633,-10.88525105,-3.962692791,0.036978483,-7.655793891,-5.559085521,-3.789458867,0.054521517
1969.4,60,0.477306721,-10.91675595,-3.957026662,0.028794211,-7.665502105,-5.619430272,-3.801661449,0.060905789
1970.1,61,0.483722197,-10.96456419,-3.952283369,0.014106603,-7.675937486,-5.65630423,-3.807761881,0.063493397
1970.2,62,0.495791697,-11.19287233,-3.95352811,0.020395282,-7.691103163,-5.658485956,-3.810901117,0.055604718
1970.3,63,0.511559998,-11.06216145,-3.949310424,0.021697919,-7.703473249,-5.64732271,-3.806259359,0.041202081
1970.4,64,0.500405957,-10.99230509,-3.947996677,-0.008652545,-7.718930233,-5.71286694,-3.827416104,0.057652545
1971.1,65,0.524547601,-10.9214174,-3.947631463,0.003570885,-7.719685153,-5.596364624,-3.799455911,0.033529115
1971.2,66,0.518418179,-10.9423494,-3.945787123,0.012539712,-7.719514241,-5.571520118,-3.798491852,0.036560288
1971.3,67,0.519150929,-10.97149045,-3.945453135,0.015993506,-7.727753101,-5.563977654,-3.795182647,0.039506494
1971.4,68,0.505259146,-10.94707711,-3.938259696,0.012024103,-7.723313649,-5.601309163,-3.798789115,0.029375897
1972.1,69,0.509976697,-10.91761023,-3.936804488,0.005911159,-7.721315309,-5.544308857,-3.787863548,0.032388841
1972.2,70,0.528288964,-10.92985502,-3.925388812,0.018876439,-7.721628194,-5.490191073,-3.763485253,0.025723561
1972.3,71,0.525857152,-10.91180479,-3.91717501,0.016776447,-7.719250734,-5.481266473,-3.758094766,0.031923553
1972.4,72,0.530495508,-10.86122431,-3.90392996,0.012176664,-7.715035517,-5.480907527,-3.743649863,0.041123336
1973.1,73,0.544628231,-10.93888864,-3.898341964,0.008447521,-7.706840909,-5.4245064,-3.716672379,0.062452479
1973.2,74,0.542721245,-11.03206457,-3.900332223,0.002106703,-7.701290041,-5.383939509,-3.708092661,0.082793297
1973.3,75,0.525663397,-11.01753989,-3.899445212,0.029660776,-7.700751953,-5.429090257,-3.721481599,0.078139224
1973.4,76,0.531764356,-11.15331942,-3.903096923,-0.000431722,-7.699921965,-5.396532738,-3.71665795,0.099931722
1974.1,77,0.523254586,-11.2250404,-3.913310302,-0.023776902,-7.705130033,-5.467639834,-3.73610307,0.117276902
1974.2,78,0.537393732,-11.34529038,-3.913604703,0.013591484,-7.71217183,-5.477669425,-3.739373625,0.105708516
1974.3,79,0.53917486,-11.68072423,-3.914537826,0.002394568,-7.722790308,-5.540735438,-3.758630365,0.111005432
1974.4,80,0.550767983,-11.63993429,-3.917745017,-0.035682266,-7.742752489,-5.536300772,-3.770481404,0.120982266
1975.1,81,0.557247474,-11.47046609,-3.915432604,-0.029191426,-7.779867096,-5.734294003,-3.793664693,0.084591426
1975.2,82,0.567722387,-11.3544642,-3.905057929,0.007595236,-7.792765091,-5.77422985,-3.789914666,0.047904764
1975.3,83,0.572399354,-11.50661256,-3.904491809,-0.017007074,-7.788256878,-5.698774816,-3.775104294,0.079407074
1975.4,84,0.567943222,-11.45714088,-3.900212052,-0.021039157,-7.778907297,-5.676468319,-3.763912627,0.073039157
1976.1,85,0.576960165,-11.34273505,-3.890903098,0.002822295,-7.76930871,-5.582791092,-3.740178453,0.045577705
1976.2,86,0.57774217,-11.34154895,-3.886316354,0.019180887,-7.771562862,-5.545491197,-3.735801257,0.035619113
1976.3,87,0.576425171,-11.35303884,-3.880341856,-0.010825861,-7.771751259,-5.548506802,-3.735689272,0.063325861
1976.4,88,0.58203803,-11.35103464,-3.871982377,-0.011254396,-7.774003323,-5.545907889,-3.732075493,0.057754396
1977.1,89,0.588469465,-11.46146226,-3.868107004,-0.025829276,-7.768411066,-5.502396632,-3.721629921,0.072729276
1977.2,90,0.593940227,-11.46273771,-3.870069196,-0.015317468,-7.750897544,-5.432575079,-3.701620085,0.069217468
1977.3,91,0.601656703,-11.52147047,-3.865841659,0.006438981,-7.747994527,-5.384397637,-3.685846075,0.054961019
1977.4,92,0.583373737,-11.55547343,-3.857376307,0.00707823,-7.742335166,-5.417414697,-3.691838004,0.05852177
1978.1,93,0.570197913,-11.64076544,-3.849121363,-0.000368324,-7.7415444,-5.402061181,-3.694938055,0.068268324
1978.2,94,0.589605076,-11.59912523,-3.840593858,-0.013938429,-7.717794907,-5.340070505,-3.651472661,0.089938429
1978.3,95,0.587904178,-11.55588268,-3.837868814,-0.007505078,-7.714213643,-5.314251113,-3.645939308,0.092005078
1978.4,96,0.592521235,-11.64828694,-3.835152389,0.008387864,-7.708088503,-5.296380878,-3.636620287,0.091912136
1979.1,97,0.590385805,-11.62219059,-3.831150297,0.001406941,-7.705630121,-5.300985451,-3.640594226,0.099493059
1979.2,98,0.590802334,-11.64478869,-3.831482406,-0.022288027,-7.706861793,-5.307525689,-3.643853111,0.125188027
1979.3,99,0.599147814,-11.62063356,-3.829866524,-0.012519719,-7.703185251,-5.331799521,-3.640365756,0.126819719
1979.4,100,0.600928467,-11.66966865,-3.827391185,0.013123834,-7.704933641,-5.355790869,-3.644456149,0.124676166
1980.1,101,0.603591598,-11.76833985,-3.83095234,0.017108545,-7.713955421,-5.36721287,-3.647821737,0.154791455
1980.2,102,0.578805351,-11.69298752,-3.843581808,-0.03803719,-7.734902997,-5.465649694,-3.680825028,0.13273719
1980.3,103,0.568602909,-11.6220387,-3.840499294,0.034324373,-7.742768006,-5.549117527,-3.687649491,0.074375627
1980.4,104,0.572118163,-11.5742469,-3.832207256,0.078408438,-7.733654777,-5.455755528,-3.667984076,0.110591562
1981.1,105,0.584244321,-11.60322759,-3.834522348,0.03786739,-7.731704139,-5.364489635,-3.64661898,0.10913261
